id,happiness
8001,3.815263360552413
8002,2.811011647923919
8003,3.4457865074177216
8004,4.251060126776582
8005,3.4503959094345347
8006,4.3042547944312615
8007,3.918435634988844
8008,4.352771322450607
8009,3.892623181482415
8010,2.8091736403515917
8011,3.054566493034978
8012,3.8482106084613363
8013,4.121065852283679
8014,3.664302096860245
8015,3.6438707665660828
8016,4.523739744896891
8017,3.687947734697173
8018,4.304859487232626
8019,3.997525231783335
8020,3.9322227050437815
8021,4.058218111034236
8022,3.7075353071624755
8023,3.9747518766177468
8024,3.60536451417054
8025,3.1675165122849314
8026,4.0778863939372005
8027,4.229490933087121
8028,4.0818668879844875
8029,4.224245021172812
8030,4.218426684623934
8031,3.803542299645832
8032,4.1184659207288545
8033,4.081448236713748
8034,3.486450287375598
8035,3.154455435448947
8036,4.451765594416569
8037,4.098084892517934
8038,4.088251063801705
8039,3.60845626895046
8040,4.162091668840838
8041,4.177936885016039
8042,3.803416751997556
8043,3.8566939683768378
8044,3.9218958289908437
8045,4.281489404172422
8046,3.9590380394009643
8047,4.023492245679528
8048,4.1142666322245285
8049,3.8168140763707643
8050,4.434181196028704
8051,3.5142187480861984
8052,4.254717299985544
8053,3.0102446785952384
8054,3.988315637849082
8055,4.300253116741975
8056,2.9026356717279107
8057,3.8596283895819794
8058,3.4772287313549888
8059,3.0931973699471627
8060,4.133599921224511
8061,3.334184001693702
8062,3.6788526198918965
8063,3.8456320626503597
8064,4.08470014823229
8065,4.147166633116445
8066,4.144083886607375
8067,4.116063783332797
8068,4.016483590518137
8069,3.4903355179383326
8070,3.9813397752406186
8071,3.8148175025220197
8072,4.399117092763645
8073,3.816482231874332
8074,3.8746569973981746
8075,3.404147889840648
8076,3.7626476210423685
8077,3.5040399552670785
8078,3.9218743229689594
8079,4.356153814559369
8080,3.7939122444869198
8081,3.9302179563974455
8082,3.9139276160659318
8083,4.2989786347204
8084,4.430857387006735
8085,4.4491652457773485
8086,4.078670412641437
8087,3.975572473365961
8088,4.152613017289834
8089,3.5976689769889685
8090,3.792470764055773
8091,4.140400092339313
8092,3.6667212820354926
8093,4.127594729176871
8094,4.1174336117316495
8095,4.4630123096359435
8096,3.3593025807518067
8097,4.305238237057988
8098,3.97118363489734
8099,3.5752190101174386
8100,4.00121839869249
8101,4.140130464005348
8102,3.9331868379545347
8103,3.2839547285637436
8104,4.550042174505735
8105,4.130177949509226
8106,4.103258627259531
8107,4.204236394106592
8108,3.9173651790065818
8109,3.7948098563333894
8110,3.768962245797758
8111,4.24045649560428
8112,3.7167975490584766
8113,3.883759503518782
8114,4.448000188673852
8115,3.97522210002793
8116,3.9593421743551223
8117,3.835467011428996
8118,3.6350108308075644
8119,3.9683562397095025
8120,4.443771908722729
8121,3.1447008404901204
8122,4.217551584425737
8123,3.6807311085770498
8124,3.547200570005286
8125,4.0541483002710414
8126,4.49479646481127
8127,1.9340223635495273
8128,3.9122002718563316
8129,3.81323708603519
8130,3.8663855559046234
8131,3.850885428745219
8132,4.166333050592535
8133,4.123912418530776
8134,4.275278632186333
8135,4.015594155259394
8136,4.3731759616677754
8137,4.119258366830949
8138,3.6477315885202874
8139,3.928765113452327
8140,3.182501507094203
8141,3.956211157140617
8142,3.7273156440698103
8143,4.306415541492625
8144,3.7305591226780748
8145,3.926394178160825
8146,2.407119910976347
8147,4.104465670927145
8148,2.87960232416919
8149,3.6024610129774217
8150,3.867906833679673
8151,2.877783824750829
8152,3.9811773197610223
8153,3.6095796466479886
8154,3.5552227494462287
8155,3.756439187100464
8156,3.707847635133841
8157,3.35504049401548
8158,3.396619401238754
8159,4.061096116704533
8160,4.234500125413436
8161,3.552388437378441
8162,3.9351059722303923
8163,3.7873270680779902
8164,3.9702349810118176
8165,4.073796284206403
8166,4.31502536139443
8167,3.7689429065589244
8168,3.108218335474465
8169,3.412115759717734
8170,3.9870795489569733
8171,3.9433499120200284
8172,3.900614258764044
8173,3.70486483785667
8174,3.844031799899294
8175,3.703235083126098
8176,4.304432201846602
8177,2.671845786406186
